# q                 I(q)             
  7.89508e-02       3.04479e-02      
  7.92849e-02       3.02224e-02      
  7.96191e-02       3.00015e-02      
  7.99532e-02       2.97850e-02      
  8.02873e-02       2.95724e-02      
  8.06214e-02       2.93637e-02      
  8.09555e-02       2.91583e-02      
  8.12896e-02       2.89562e-02      
  8.16237e-02       2.87570e-02      
  8.19579e-02       2.85604e-02      
  8.22920e-02       2.83663e-02      
  8.26261e-02       2.81743e-02      
  8.29602e-02       2.79843e-02      
  8.32943e-02       2.77959e-02      
  8.36284e-02       2.76091e-02      
  8.39625e-02       2.74235e-02      
  8.42967e-02       2.72391e-02      
  8.46308e-02       2.70556e-02      
  8.49649e-02       2.68729e-02      
  8.52990e-02       2.66908e-02      
  8.56331e-02       2.65091e-02      
  8.59672e-02       2.63278e-02      
  8.63013e-02       2.61468e-02      
  8.66355e-02       2.59658e-02      
  8.69696e-02       2.57849e-02      
  8.73037e-02       2.56040e-02      
  8.76378e-02       2.54230e-02      
  8.79719e-02       2.52417e-02      
  8.83060e-02       2.50603e-02      
  8.86401e-02       2.48786e-02      
  8.89742e-02       2.46966e-02      
  8.93084e-02       2.45144e-02      
  8.96425e-02       2.43319e-02      
  8.99766e-02       2.41490e-02      
  9.03107e-02       2.39659e-02      
  9.06448e-02       2.37826e-02      
  9.09789e-02       2.35991e-02      
  9.13130e-02       2.34153e-02      
  9.16472e-02       2.32315e-02      
  9.19813e-02       2.30476e-02      
  9.23154e-02       2.28637e-02      
  9.26495e-02       2.26798e-02      
  9.29836e-02       2.24961e-02      
  9.33177e-02       2.23125e-02      
  9.36518e-02       2.21293e-02      
  9.39860e-02       2.19464e-02      
  9.43201e-02       2.17640e-02      
  9.46542e-02       2.15821e-02      
  9.49883e-02       2.14009e-02      
  9.53224e-02       2.12203e-02      
  9.56565e-02       2.10406e-02      
  9.59906e-02       2.08618e-02      
  9.63247e-02       2.06841e-02      
  9.66589e-02       2.05074e-02      
  9.69930e-02       2.03319e-02      
  9.73271e-02       2.01577e-02      
  9.76612e-02       1.99848e-02      
  9.79953e-02       1.98134e-02      
  9.83294e-02       1.96436e-02      
  9.86635e-02       1.94753e-02      
  9.89977e-02       1.93088e-02      
  9.93318e-02       1.91440e-02      
  9.96659e-02       1.89811e-02      
  1.00000e-01       1.88201e-02      
